model_type,config_id,med,hv,time,lr,num_epochs,num_partitions,beta_C_0,beta_Q_0,rho_C,rho_Q,beta_C_max,beta_Q_max
trans,0,0.005939815414394302,1.367229633301533,33.89718246459961,0.001,500,20,10,5,1.03,1.01,1000.0,100.0
trans,1,0.00899896990216395,1.3691963438864378,34.48731446266174,0.001,500,20,10,5,1.03,1.01,1000.0,500.0
trans,2,0.014578590706269368,1.3645626269506925,34.21180295944214,0.001,500,20,10,5,1.03,1.01,1000.0,1000.0
trans,3,0.007189062868077906,1.3663489100446795,34.94369602203369,0.001,500,20,10,5,1.03,1.03,1000.0,100.0
trans,4,0.0072938953743960965,1.3720365077833938,34.62100315093994,0.001,500,20,10,5,1.03,1.03,1000.0,500.0
trans,5,0.00886985492586043,1.3718031863630666,33.74535083770752,0.001,500,20,10,5,1.03,1.03,1000.0,1000.0
trans,6,0.005695106778223037,1.3699710557300326,68.31858801841736,0.001,1000,20,10,5,1.03,1.01,1000.0,100.0
trans,7,0.005950634839402684,1.3713412953251511,68.17005753517151,0.001,1000,20,10,5,1.03,1.01,1000.0,500.0
trans,8,0.005165213472163744,1.3730021580842242,68.58987760543823,0.001,1000,20,10,5,1.03,1.01,1000.0,1000.0
trans,9,0.0049696972376852035,1.3677174022169531,69.02891635894775,0.001,1000,20,10,5,1.03,1.03,1000.0,100.0
trans,10,0.005053119626739495,1.374976448693169,67.93135142326355,0.001,1000,20,10,5,1.03,1.03,1000.0,500.0
trans,11,0.0050952572295008035,1.3710895664477722,68.4940619468689,0.001,1000,20,10,5,1.03,1.03,1000.0,1000.0
trans,12,0.0036176511259521163,1.3644905165737187,138.11301136016846,0.001,2000,20,10,5,1.03,1.01,1000.0,100.0
trans,13,0.005814254012078553,1.3677107733272282,135.20734095573425,0.001,2000,20,10,5,1.03,1.01,1000.0,500.0
trans,14,0.004390796655624643,1.3720277129485916,135.36594200134277,0.001,2000,20,10,5,1.03,1.01,1000.0,1000.0
trans,15,0.005303626365880382,1.3633470066728253,135.74742460250854,0.001,2000,20,10,5,1.03,1.03,1000.0,100.0
trans,16,0.004890746019484936,1.3621547651791883,134.95850443840027,0.001,2000,20,10,5,1.03,1.03,1000.0,500.0
trans,17,0.005614956093921732,1.3609853163407264,135.37737655639648,0.001,2000,20,10,5,1.03,1.03,1000.0,1000.0
trans,18,0.0066833828194923115,1.3607605946537098,33.76335334777832,0.0005,500,20,10,5,1.03,1.01,1000.0,100.0
trans,19,0.010336368687638455,1.360994647006274,33.12660074234009,0.0005,500,20,10,5,1.03,1.01,1000.0,500.0
trans,20,0.00987414172112265,1.3674431247211136,34.216744899749756,0.0005,500,20,10,5,1.03,1.01,1000.0,1000.0
trans,21,0.006759260675918835,1.3711477811595496,33.99607563018799,0.0005,500,20,10,5,1.03,1.03,1000.0,100.0
trans,22,0.0051524546461760735,1.3714380074342973,33.740683794021606,0.0005,500,20,10,5,1.03,1.03,1000.0,500.0
trans,23,0.008355493123507137,1.3721809849240243,34.02233290672302,0.0005,500,20,10,5,1.03,1.03,1000.0,1000.0
trans,24,0.004814263319179954,1.3639892145915702,67.22871136665344,0.0005,1000,20,10,5,1.03,1.01,1000.0,100.0
trans,25,0.006666594527244071,1.3570788492168215,67.51818180084229,0.0005,1000,20,10,5,1.03,1.01,1000.0,500.0
trans,26,0.008074574559349536,1.3625392889262071,66.5854902267456,0.0005,1000,20,10,5,1.03,1.01,1000.0,1000.0
trans,27,0.008172521373662756,1.3739703794551803,66.51249361038208,0.0005,1000,20,10,5,1.03,1.03,1000.0,100.0
