model,med,hv,time,lr,num_epochs,num_partitions,beta_C_0,beta_Q_0,rho_C,rho_Q,beta_C_max,beta_Q_max
MLP,0.003660703796987379,1.3887609460281365,35.18829393386841,0.001,500,50,10,5,1.03,1.01,1000.0,100.0
MLP,0.003635845909513646,1.387194675452926,34.23160266876221,0.001,500,50,10,5,1.03,1.01,1000.0,500.0
MLP,0.006397643897835474,1.3899736831703713,34.325570583343506,0.001,500,50,10,5,1.03,1.01,1000.0,1000.0
MLP,0.0025564228819335054,1.3848316197855932,35.0195677280426,0.001,500,50,10,5,1.03,1.03,1000.0,100.0
MLP,0.006008146282746474,1.3876120342589864,34.25408887863159,0.001,500,50,10,5,1.03,1.03,1000.0,500.0
MLP,0.005770456946414711,1.3882988733752255,34.72121214866638,0.001,500,50,10,5,1.03,1.03,1000.0,1000.0
MLP,0.0036686159021900606,1.385439209455392,69.64078521728516,0.001,1000,50,10,5,1.03,1.01,1000.0,100.0
MLP,0.00422576554526785,1.3901751052147937,157.88032746315002,0.001,1000,50,10,5,1.03,1.01,1000.0,500.0
MLP,0.0034377954400062107,1.3902633790163972,185.98635363578796,0.001,1000,50,10,5,1.03,1.01,1000.0,1000.0
MLP,0.002629487352651695,1.384138213026392,185.4870388507843,0.001,1000,50,10,5,1.03,1.03,1000.0,100.0
MLP,0.0015729608559450568,1.3904333495292633,188.11113858222961,0.001,1000,50,10,5,1.03,1.03,1000.0,500.0
MLP,0.003005881270335559,1.3904718841699593,181.0185945034027,0.001,1000,50,10,5,1.03,1.03,1000.0,1000.0
MLP,0.0030606760467759443,1.3826382556240389,369.2541000843048,0.001,2000,50,10,5,1.03,1.01,1000.0,100.0
MLP,0.0038959947789581994,1.3893531197189306,364.59398913383484,0.001,2000,50,10,5,1.03,1.01,1000.0,500.0
MLP,0.0024879786689487125,1.3904068875941231,367.59663224220276,0.001,2000,50,10,5,1.03,1.01,1000.0,1000.0
MLP,0.0035092320913236046,1.3840322032935555,368.6877028942108,0.001,2000,50,10,5,1.03,1.03,1000.0,100.0
MLP,0.004274737467382862,1.3886239849651865,361.7119245529175,0.001,2000,50,10,5,1.03,1.03,1000.0,500.0
