model,med,hv,time,lr,num_epochs,num_partitions,beta_C_0,beta_Q_0,rho_C,rho_Q,beta_C_max,beta_Q_max
MLP,0.022688136851830937,1.6448410866236995,59.485647201538086,0.001,500,20,10,5,1.03,1.01,1000.0,100.0
MLP,0.027018581491268075,1.6344534464881937,57.36054468154907,0.001,500,20,10,5,1.03,1.01,1000.0,500.0
MLP,0.01688434899246352,1.657758739442588,58.79846143722534,0.001,500,20,10,5,1.03,1.01,1000.0,1000.0
MLP,0.05167793654329904,1.5950829847431711,56.618239879608154,0.001,500,20,10,5,1.03,1.03,1000.0,100.0
MLP,0.035245182790093754,1.6200222668089204,57.557579040527344,0.001,500,20,10,5,1.03,1.03,1000.0,500.0
MLP,0.025733210797726825,1.6433731557540356,58.62154245376587,0.001,500,20,10,5,1.03,1.03,1000.0,1000.0
MLP,0.010354194178368761,1.6737969973681701,114.43459820747375,0.001,1000,20,10,5,1.03,1.01,1000.0,100.0
MLP,0.02272075297166888,1.646440575192585,114.60648894309998,0.001,1000,20,10,5,1.03,1.01,1000.0,500.0
MLP,0.018972227258132905,1.6542215685725479,114.6324896812439,0.001,1000,20,10,5,1.03,1.01,1000.0,1000.0
MLP,0.02374006974022491,1.645883267411841,114.90253329277039,0.001,1000,20,10,5,1.03,1.03,1000.0,100.0
MLP,0.011798958736426935,1.6704434053593784,115.36621928215027,0.001,1000,20,10,5,1.03,1.03,1000.0,500.0
MLP,0.02143160683020682,1.649760850984885,115.25795292854309,0.001,1000,20,10,5,1.03,1.03,1000.0,1000.0
MLP,0.008886669854801084,1.6771452032851828,229.5279562473297,0.001,2000,20,10,5,1.03,1.01,1000.0,100.0
MLP,0.016122181051191307,1.6579418344807322,229.9180884361267,0.001,2000,20,10,5,1.03,1.01,1000.0,500.0
MLP,0.009194437882177126,1.678397048811098,229.2190647125244,0.001,2000,20,10,5,1.03,1.01,1000.0,1000.0
MLP,0.007616163728876552,1.634628253516455,230.5370647907257,0.001,2000,20,10,5,1.03,1.03,1000.0,100.0
MLP,0.016365127626647172,1.6603400256993914,229.70684671401978,0.001,2000,20,10,5,1.03,1.03,1000.0,500.0
MLP,0.0112193444617326,1.668160579881938,229.4712357521057,0.001,2000,20,10,5,1.03,1.03,1000.0,1000.0
MLP,0.0414432876079674,1.6137835237370988,59.70237922668457,0.0005,500,20,10,5,1.03,1.01,1000.0,100.0
MLP,0.15981126695157657,1.3926309652853415,57.55210781097412,0.0005,500,20,10,5,1.03,1.01,1000.0,500.0
MLP,0.0349712297485958,1.62111748540509,58.41913628578186,0.0005,500,20,10,5,1.03,1.01,1000.0,1000.0
MLP,0.050478646731044095,1.5801303704953242,59.69017171859741,0.0005,500,20,10,5,1.03,1.03,1000.0,100.0
MLP,0.08638852846740663,1.499734558161332,58.89874482154846,0.0005,500,20,10,5,1.03,1.03,1000.0,500.0
MLP,0.11544101757295684,1.4474241488222388,58.976587772369385,0.0005,500,20,10,5,1.03,1.03,1000.0,1000.0
MLP,0.03544694413542465,1.6206493789547796,116.26778888702393,0.0005,1000,20,10,5,1.03,1.01,1000.0,100.0
MLP,0.05474406186034173,1.574787679077541,115.0158052444458,0.0005,1000,20,10,5,1.03,1.01,1000.0,500.0
MLP,0.02811789131083352,1.6342030288998557,117.21679043769836,0.0005,1000,20,10,5,1.03,1.01,1000.0,1000.0
MLP,0.04319607835924859,1.6099918518182286,116.8136613368988,0.0005,1000,20,10,5,1.03,1.03,1000.0,100.0
MLP,0.04133486431005197,1.6045433400185631,114.71364903450012,0.0005,1000,20,10,5,1.03,1.03,1000.0,500.0
MLP,0.03560045215057288,1.6214784827661348,116.41839003562927,0.0005,1000,20,10,5,1.03,1.03,1000.0,1000.0
MLP,0.03820412043845183,1.6224325049337769,230.58695483207703,0.0005,2000,20,10,5,1.03,1.01,1000.0,100.0
MLP,0.024030592253123782,1.6423956742308077,230.68391847610474,0.0005,2000,20,10,5,1.03,1.01,1000.0,500.0
MLP,0.04111846123190944,1.6142813191603227,228.74448943138123,0.0005,2000,20,10,5,1.03,1.01,1000.0,1000.0
MLP,0.03978648260409039,1.6165278850366587,229.81202578544617,0.0005,2000,20,10,5,1.03,1.03,1000.0,100.0
MLP,0.031078821323705614,1.6322408402698245,231.16620469093323,0.0005,2000,20,10,5,1.03,1.03,1000.0,500.0
MLP,0.06274767231712122,1.5495286504248695,226.27857160568237,0.0005,2000,20,10,5,1.03,1.03,1000.0,1000.0
trans,0.016691310861690144,1.6576666723008473,63.126261711120605,0.001,500,20,10,5,1.03,1.01,1000.0,100.0
trans,0.013905760945217182,1.6723357598948783,63.795883893966675,0.001,500,20,10,5,1.03,1.01,1000.0,500.0
trans,0.014318572805311838,1.671451244874378,62.9911732673645,0.001,500,20,10,5,1.03,1.01,1000.0,1000.0
trans,0.011885919329351662,1.6729495810959718,63.384392499923706,0.001,500,20,10,5,1.03,1.03,1000.0,100.0
trans,0.006384882794626642,1.6826674595497875,63.040154218673706,0.001,500,20,10,5,1.03,1.03,1000.0,500.0
trans,0.004747970954823624,1.6457417250096458,63.61886668205261,0.001,500,20,10,5,1.03,1.03,1000.0,1000.0
trans,0.004428780645573395,1.5974674419798682,127.0819582939148,0.001,1000,20,10,5,1.03,1.01,1000.0,100.0
trans,0.003399779364433016,1.5969481685363922,127.00013065338135,0.001,1000,20,10,5,1.03,1.01,1000.0,500.0
trans,0.011961391011991673,1.624664320030535,127.16938376426697,0.001,1000,20,10,5,1.03,1.01,1000.0,1000.0
trans,0.003753463054666057,1.641022666631497,126.53850221633911,0.001,1000,20,10,5,1.03,1.03,1000.0,100.0
trans,0.007623770908934714,1.635456659105094,127.13936424255371,0.001,1000,20,10,5,1.03,1.03,1000.0,500.0
trans,0.006054348804853834,1.6826460204476517,127.82611560821533,0.001,1000,20,10,5,1.03,1.03,1000.0,1000.0
trans,0.011923979234410664,1.6728303634963049,254.0077142715454,0.001,2000,20,10,5,1.03,1.01,1000.0,100.0
trans,0.0037896599834185397,1.6433019594358445,257.59158062934875,0.001,2000,20,10,5,1.03,1.01,1000.0,500.0
trans,0.002619363995704159,1.5954698899813933,254.24177861213684,0.001,2000,20,10,5,1.03,1.01,1000.0,1000.0
trans,0.004768419899188197,1.644889922089599,256.25418043136597,0.001,2000,20,10,5,1.03,1.03,1000.0,100.0
trans,0.0031470381766048904,1.6386477481029247,261.6592528820038,0.001,2000,20,10,5,1.03,1.03,1000.0,500.0
trans,0.003985409751289212,1.6389522078461636,262.3239002227783,0.001,2000,20,10,5,1.03,1.03,1000.0,1000.0
trans,0.024923197606990122,1.6374806782018891,66.23941683769226,0.0005,500,20,10,5,1.03,1.01,1000.0,100.0
trans,0.01678623867860752,1.6592021002995265,66.8514175415039,0.0005,500,20,10,5,1.03,1.01,1000.0,500.0
