model,med,hv,time,lr,num_epochs,num_partitions,beta_C_0,beta_Q_0,rho_C,rho_Q,beta_C_max,beta_Q_max,MED,HV,id,expo_lambda,expo_alpha,expo_beta,expo_gamma,init_params,mu,max_iter
MLP,0.003444720371351368,1.693190052351044,148.07864904403687,0.001,1000.0,50.0,10.0,1.0,1.01,1.01,1000.0,50.0,,,,,,,,,,
MLP,0.008427917687873517,1.678369550752198,145.20333051681519,0.001,1000.0,50.0,10.0,1.0,1.01,1.01,1000.0,100.0,,,,,,,,,,
MLP,0.015081956713361482,1.6621638527975953,146.29386854171753,0.001,1000.0,50.0,10.0,1.0,1.01,1.01,1000.0,200.0,,,,,,,,,,
MLP,0.007498191929090957,1.6811691303864482,144.99935841560364,0.001,1000.0,50.0,10.0,1.0,1.01,1.001,1000.0,50.0,,,,,,,,,,
MLP,0.017388483925543884,1.6566422647635224,143.2766408920288,0.001,1000.0,50.0,10.0,1.0,1.01,1.001,1000.0,100.0,,,,,,,,,,
MLP,0.007800175421728301,1.6845221540219084,145.41573452949524,0.001,1000.0,50.0,10.0,1.0,1.01,1.001,1000.0,200.0,,,,,,,,,,
MLP,0.023098505351640868,1.6436933213107652,145.50647497177124,0.001,1000.0,50.0,10.0,5.0,1.01,1.01,1000.0,50.0,,,,,,,,,,
MLP,0.011596507230500964,1.6714396995961502,143.9968044757843,0.001,1000.0,50.0,10.0,5.0,1.01,1.01,1000.0,100.0,,,,,,,,,,
MLP,0.005328909002448578,1.6925605965182728,145.54058074951172,0.001,1000.0,50.0,10.0,5.0,1.01,1.01,1000.0,200.0,,,,,,,,,,
MLP,0.017976112941549945,1.6495481849598326,146.48744940757751,0.001,1000.0,50.0,10.0,5.0,1.01,1.001,1000.0,50.0,,,,,,,,,,
MLP,0.0076878647231230345,1.682178739605972,145.5727276802063,0.001,1000.0,50.0,10.0,5.0,1.01,1.001,1000.0,100.0,,,,,,,,,,
MLP,0.00669350536380164,1.68463674244492,146.73272442817688,0.001,1000.0,50.0,10.0,5.0,1.01,1.001,1000.0,200.0,,,,,,,,,,
MLP,0.005271950968408093,1.693425214072493,290.84277391433716,0.001,2000.0,50.0,10.0,1.0,1.01,1.01,1000.0,50.0,,,,,,,,,,
MLP,0.013961882099185773,1.667295644659737,285.57535672187805,0.001,2000.0,50.0,10.0,1.0,1.01,1.01,1000.0,100.0,,,,,,,,,,
MLP,0.011125273132807761,1.6744804213008735,286.66315722465515,0.001,2000.0,50.0,10.0,1.0,1.01,1.01,1000.0,200.0,,,,,,,,,,
MLP,0.005988352219807913,1.686695099056772,289.59639954566956,0.001,2000.0,50.0,10.0,1.0,1.01,1.001,1000.0,50.0,,,,,,,,,,
MLP,0.008016539065028482,1.6836596681280889,288.9693374633789,0.001,2000.0,50.0,10.0,1.0,1.01,1.001,1000.0,100.0,,,,,,,,,,
MLP,0.007408510486066856,1.6813081375896675,289.9255621433258,0.001,2000.0,50.0,10.0,1.0,1.01,1.001,1000.0,200.0,,,,,,,,,,
MLP,0.007266170425601875,1.6861896306893933,284.8976650238037,0.001,2000.0,50.0,10.0,5.0,1.01,1.01,1000.0,50.0,,,,,,,,,,
MLP,0.003749487290859582,1.6963468918376756,279.62928009033203,0.001,2000.0,50.0,10.0,5.0,1.01,1.01,1000.0,100.0,,,,,,,,,,
MLP,0.004210616201436409,1.6936321993277912,279.9216847419739,0.001,2000.0,50.0,10.0,5.0,1.01,1.01,1000.0,200.0,,,,,,,,,,
MLP,0.007015224986387704,1.6846010500961297,279.9467499256134,0.001,2000.0,50.0,10.0,5.0,1.01,1.001,1000.0,50.0,,,,,,,,,,
MLP,0.0071475205478980985,1.6809269431259692,288.5428614616394,0.001,2000.0,50.0,10.0,5.0,1.01,1.001,1000.0,100.0,,,,,,,,,,
MLP,0.014381818966336557,1.6616822600829857,293.97880387306213,0.001,2000.0,50.0,10.0,5.0,1.01,1.001,1000.0,200.0,,,,,,,,,,
trans,0.00881038231125629,1.6767799196077866,174.82837176322937,0.001,1000.0,50.0,10.0,1.0,1.01,1.01,1000.0,50.0,,,,,,,,,,
trans,0.0028579416163498923,1.6949964990393724,175.67755460739136,0.001,1000.0,50.0,10.0,1.0,1.01,1.01,1000.0,100.0,,,,,,,,,,
trans,0.003946206872163103,1.6992522656194897,175.51290774345398,0.001,1000.0,50.0,10.0,1.0,1.01,1.01,1000.0,200.0,,,,,,,,,,
trans,0.0039127375671398875,1.6950068457266152,178.0707905292511,0.001,1000.0,50.0,10.0,1.0,1.01,1.001,1000.0,50.0,,,,,,,,,,
trans,0.002739425419418506,1.6959424348534116,177.40167951583862,0.001,1000.0,50.0,10.0,1.0,1.01,1.001,1000.0,100.0,,,,,,,,,,
trans,0.0064390072199108726,1.6857065728506315,175.0080168247223,0.001,1000.0,50.0,10.0,1.0,1.01,1.001,1000.0,200.0,,,,,,,,,,
trans,0.00555893602850261,1.6840071247003705,178.08404207229614,0.001,1000.0,50.0,10.0,5.0,1.01,1.01,1000.0,50.0,,,,,,,,,,
trans,0.006687241595603427,1.6854471992858868,177.0120096206665,0.001,1000.0,50.0,10.0,5.0,1.01,1.01,1000.0,100.0,,,,,,,,,,
trans,0.004242995625637482,1.6915869405762094,174.54748344421387,0.001,1000.0,50.0,10.0,5.0,1.01,1.01,1000.0,200.0,,,,,,,,,,
